id,name,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact
5961,b'gAAAAABl4lkMP2D1KFXq9P8mdaYkHpd3azYkIPOESHPW3j9Wu7ByA0s8J7UY92le4JCeFgotBtIutty5K1RDpVmU3IZZAhaBrg==',2020-07-01,shot,gun,b'gAAAAABl4lkM33pVR0lv3XziBiKaTHGb_s-05BjOnHulK6Jzh78___hvIOIth3qWxtbnq92_zYF39Kr5j8ZwJ01xl6akUG2oKw==',M,W,Durango,CO,False,attack,Not fleeing,False,b'gAAAAABl4lkNqANhTO5SUb-Qreq2aAYAhjj1QqaFcf4Yj2eLjmlkd2tP883jxYam36VbPN20CMQoVkEXdPoV-mXc1nKJ5yzmAQ==',b'gAAAAABl4lkNIYiOe09WPQuTskDWQrTWfUbIfV9gDV4Y-2FrPV71mlmYjhix5SRoYT1tRdkFGktszexXlz8RcYpXb23hGOMGFg==',True
5976,b'gAAAAABl4lkM5kNoe7Mpvt_DUx235Z1qBMqYt4h-dcXYRWvW7zOC5ee_LUtkyRLaLOi5EN09kA7XiHWpVdkkv8EUq1oLL518YA==',2020-07-02,shot,gun,b'gAAAAABl4lkMp-8zJp3Is7BPAlTOToyw2UuHxB3fp0mRcWwzMgPbytFRqocm1b4Cgn4M0QPZgZcZxvVf5ANFcobFkX0UJ0rYkA==',M,B,Kansas City,MO,True,attack,Foot,False,b'gAAAAABl4lkNwF5WldEMoQtLDWqF80hJHY-UaMekNslRftlAcA1F4gTzRhuNR8WHd4QiAkdR5KQmBNIWs-7XBX6D29tsPjkD4w==',b'gAAAAABl4lkNMqzgt6YNrPALSYQqbbh45h8ZjNUNxtqGv9Wg5Ibq_gLhCrMyVxx_g-tomA0Eb2XeV02QFCiyjYETyCIWpnICRg==',True
5959,b'gAAAAABl4lkMprLbKUpE3OIRulYbUdIs0Zi1PsKICBh_TbfXdTtGV6xOPuPFuQjl1alzNFEQsUatVQKgAa8KADsP9f2bdF4z3A==',2020-07-02,shot and Tasered,knife,b'gAAAAABl4lkMNtNd-YZWjBY5xe2v9taCvi2PYgIEaRAow2hKIVvJQIrPgVD3j6qQ2MBnq6cwWhfyPmhBSkbEcR--7bEwXv4MfA==',M,B,Sheboygan,WI,True,other,Not fleeing,True,b'gAAAAABl4lkNqObGFGFOv4cUSLoKkKKiNbKd0GW_qcHvgq8mXwx3ciMsErfgx891P_mHueLEVSKWY2O5kcKcwJNQbukheSfXhw==',b'gAAAAABl4lkNnZmT1rraRrdTdwyNFoVRa29j8mO1k6Y-J_vxPkKY_jxJrU8IV0PjJE8cH08q8JprRbQjnenpUJLgpi8jGDN1Tw==',True
5975,b'gAAAAABl4lkMXn-Cp9lyWPA32qDmfNU38OMb7MoJH2NJNw0mRkqf8hmQ2cOgsJzmMxl_I9TU0jGeReIAb2VIRMVVWC4C4KXpJg==',2020-07-03,shot,gun,b'gAAAAABl4lkM7uvdtbLfouldI9wYEhSSBG8Fdp4Fngdz3sAs9ijCOix8B1AHdrf-KEACUvmljpkjlWHD6Z8vsHlGWsrYP10hAw==',M,W,Welches,OR,True,attack,Not fleeing,False,b'gAAAAABl4lkNCsZoNY0b2GsO8w283bAvajb4Owijv_HRyxwGyZLky_c14tbGIucJ8ktyBiv0miLGVYuZ9egOiT1uRr2ZkHvQxw==',b'gAAAAABl4lkNvWSwPN_IXNpiAul1yMi99CZhqlSfcOdoRQGDOM5Lunh9A-lhg4iybf2MB3acUtZgv7BPUwpfic7d4qcLlSnr8Q==',True
5969,b'gAAAAABl4lkMNl_bZ_BPwyA8KXJWM8eMpOte9jyG98UmooAKA8wYsoD1tVqt44uMvYQwvL1YIwoxWtMABpeu9j_7HQlZCdKdpsTyrdvT21k0fP0AynSsVj4=',2020-07-04,shot,undetermined,b'gAAAAABl4lkM7Luyr17JIg_2g5DfZVprNI3XeuaDn4d3xWXzJHp9LCiTWm-BBiTgogAQBwY0m-IFf-UQT9cTTCAe13dFD0NGlA==',M,H,Phoenix,AZ,False,undetermined,Not fleeing,True,b'gAAAAABl4lkN8buwc7t0zuKWyI7s4D69AbTbV17MOo_9ni6GprRpVXeJzKfhvtIBq4xZLDgkyfO0aTkjbIVhh8bBtDsaUk2KEg==',b'gAAAAABl4lkNloZaPLbMxO4H6HS4HIuJFX8VJYI0JamR_F5kAoTeScKRnEBwMAxBQk6Csf_sH50wzGWhE3BST37OmimEEX8GIA==',True
5974,b'gAAAAABl4lkMM1SQwa_OhmJb1hbg8_f7Vd0-KB_VxedsXCyMkbM-vhIinlTFKFSoHPG9F-LIxCEfT1NINvnemzLn1ZVYM0iWXw==',2020-07-04,shot,machete,b'gAAAAABl4lkMc3vaKyKL_qJfkGToLlRQc4YiGqJk9Vs_xQbM_v5IEP7KWg5QtawazAy1nzGSaR2o52J3RSL1LzmmtQC3c0NJxw==',M,H,Jacksonville,FL,True,other,Not fleeing,True,b'gAAAAABl4lkNXqoktJp4Cq5sAOsBHEDhHAhBcCisEn9NgVFwxJP4RNPilOTRpcqrzMn5J9lpKVQJV4ybmYH7xcHR_RC1qY8R9Q==',b'gAAAAABl4lkN26XnN9R6MOSVh52PegooBxO-XmxKgdWJ-EpAMaiuM-gFS-PLX7OBCK6xZB8kBiZp9d4skEM1-OEBB8-KRL1VZg==',True
5968,b'gAAAAABl4lkM9qOHsFNRo7rcDAoBvPMOzRe6K_RqYH21t_J-BOTajfp4IvkDpx0TGLgMgzfEJx6vPGNTxQA1CntKDChw290vUQ==',2020-07-05,shot,gun,b'gAAAAABl4lkMBjA10vbS0Ul4HFt2ulKAMvNZKjQ_MeeZo-GUQjrHrrRK7x0MDjCMpavtuo63QfJ4nNmWFM9mzJ6IsPI1fJ-bVg==',M,W,Chino,CA,False,attack,Foot,False,b'gAAAAABl4lkNq6N3gaQzsp7Ng05X9tuLI8vLxfAJvmjDHa_6CxB2lCHMFKacwRRfQyBp9wjlXCh-_g5CLYQEev0ufZcXAyMONQ==',b'gAAAAABl4lkNUuwFFj4kxfUDGWVHyJiYHp2eUvTM0O6G7-Dv9w64-kVvSx4K4A6zbN27eZ3AIzSy7eeFOX0XaMPfxiZmLsBUWw==',True
5971,b'gAAAAABl4lkMBqPqaCMviua2lv_t5l1u2L5X64IBFK1vjnN0Ag5IH1qg1tYed3Y0rUVqJYSc2pqLKhwONa7CzC7oucGR-dTPSgF_GMU8dLfipxclOlFkpec=',2020-07-05,shot,toy weapon,b'gAAAAABl4lkMAlkio3rX8LjnM53PfKeGe8sbuKZRp-swZXDuGcHYJriqGTfrbzBPa6mt421eOMgattsFEDCNpjT0rRa7G7nhiA==',M,W,Muncie,IN,True,attack,,True,b'gAAAAABl4lkNiX1J7Oo5PTRfu5hOD-G2C2lv3XNZ8884lN8T5d_o4NcNOJTIQ-vCipxRiruHllFyzHtzEcvoxKeBsmILQn9ZIg==',b'gAAAAABl4lkNw24hy6sr-Zc8m7UHHG4UII0gWae8ZcfZ4Baby_2DcX8Qa8JYPmnTTPWuMHyn0XE8lUDLeiORx7ucaLzl8YyjYA==',True
5972,b'gAAAAABl4lkMtZE0_HQuXsO3mBeIfODm3wbvglB1BIL8fUfifmuH_Vh0gJVZi0yC_Oq7joPQwVJF8TP9p35vI3CS2ehqvJq_cGZXKuQAhS7NrV-R7D5v52w=',2020-07-05,shot,gun,b'gAAAAABl4lkMXs3MgWdjqLeXSRqKk5NCgT5wTsrUXe5ERWjfBKGkDmY5IsOClJdrodsqUc2JdNZmLEPRwSPjiHKYeO7KsHwqkQ==',M,W,Mesa,AZ,True,attack,Not fleeing,False,b'gAAAAABl4lkNLi6g13agXGsSq1i7vN__GDDnT4hOZ9-4wEgT1RpOzofVvS0WdJkb9BDYbnsswW1a3e-4lknqL0L6W_DSGOeKjA==',b'gAAAAABl4lkNIuTxN-tC_IQ1jGXW9aWyRsKekhstTkhN02DZBln87ixl8r0yx0GZ3CYuI6H7Lr0TzB2j0uKuutkzoquUniMUaQ==',True
5970,b'gAAAAABl4lkMN5DKJJe8Xk4rUJfqbubQXSXruf6ba1znVHz-Qq1652KMxkJNtz9UznpKKzndZZAQy0VmBfa8kj0t5J6GGwEbNdGGtgzckx405LSTO-2y3Ig=',2020-07-06,shot,gun,b'gAAAAABl4lkMXujDUH7UHoVQROzJ3kA3-DTJHsXiZi2uMTWe2EtX8PWX3M4qruFb02pAoXSt7RaLR-38HwWzf69kIh5Qn1Mywg==',M,B,Milwaukee,WI,False,other,,False,b'gAAAAABl4lkNslkVBogr0EgRxif3iM8ndJS6ZrpKcf7LT5S69PsMDVFlUX1l-6TtR55YUh7kD_Utz4j8eUQ13tl22jTE38hFBg==',b'gAAAAABl4lkNXuKdRwqPopZnpbjZzRig_cZ4RjLRfLWIgRIo4BIoTDfWWHqFao7EXUvDj-JNeIppnqzi2M9ahtY_iiC0uaHF6g==',True
